68034 silly lifecycle lodash@4.17.21~preinstall: no script for preinstall, continuing
69394 silly build @babel/plugin-proposal-json-strings@7.14.5
69395 info linkStuff @babel/plugin-proposal-json-strings@7.14.5
69396 silly linkStuff @babel/plugin-proposal-json-strings@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69397 verbose linkBins @babel/plugin-proposal-json-strings@7.14.5
69398 verbose linkMans @babel/plugin-proposal-json-strings@7.14.5
69399 silly build @babel/plugin-syntax-logical-assignment-operators@7.10.4
69400 info linkStuff @babel/plugin-syntax-logical-assignment-operators@7.10.4
69401 silly linkStuff @babel/plugin-syntax-logical-assignment-operators@7.10.4 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69402 verbose linkBins @babel/plugin-syntax-logical-assignment-operators@7.10.4
69403 verbose linkMans @babel/plugin-syntax-logical-assignment-operators@7.10.4
69404 silly build @babel/plugin-proposal-logical-assignment-operators@7.14.5
69405 info linkStuff @babel/plugin-proposal-logical-assignment-operators@7.14.5
69406 silly linkStuff @babel/plugin-proposal-logical-assignment-operators@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69407 verbose linkBins @babel/plugin-proposal-logical-assignment-operators@7.14.5
69408 verbose linkMans @babel/plugin-proposal-logical-assignment-operators@7.14.5
69409 silly build @babel/plugin-syntax-nullish-coalescing-operator@7.8.3
69410 info linkStuff @babel/plugin-syntax-nullish-coalescing-operator@7.8.3
69411 silly linkStuff @babel/plugin-syntax-nullish-coalescing-operator@7.8.3 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69412 verbose linkBins @babel/plugin-syntax-nullish-coalescing-operator@7.8.3
69413 verbose linkMans @babel/plugin-syntax-nullish-coalescing-operator@7.8.3
69414 silly build @babel/plugin-proposal-nullish-coalescing-operator@7.14.5
69415 info linkStuff @babel/plugin-proposal-nullish-coalescing-operator@7.14.5
69416 silly linkStuff @babel/plugin-proposal-nullish-coalescing-operator@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69417 verbose linkBins @babel/plugin-proposal-nullish-coalescing-operator@7.14.5
69418 verbose linkMans @babel/plugin-proposal-nullish-coalescing-operator@7.14.5
69419 silly build @babel/plugin-syntax-numeric-separator@7.10.4
69420 info linkStuff @babel/plugin-syntax-numeric-separator@7.10.4
69421 silly linkStuff @babel/plugin-syntax-numeric-separator@7.10.4 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69422 verbose linkBins @babel/plugin-syntax-numeric-separator@7.10.4
69423 verbose linkMans @babel/plugin-syntax-numeric-separator@7.10.4
69424 silly build @babel/plugin-proposal-numeric-separator@7.14.5
69425 info linkStuff @babel/plugin-proposal-numeric-separator@7.14.5
69426 silly linkStuff @babel/plugin-proposal-numeric-separator@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69427 verbose linkBins @babel/plugin-proposal-numeric-separator@7.14.5
69428 verbose linkMans @babel/plugin-proposal-numeric-separator@7.14.5
69429 silly build @babel/plugin-syntax-object-rest-spread@7.8.3
69430 info linkStuff @babel/plugin-syntax-object-rest-spread@7.8.3
69431 silly linkStuff @babel/plugin-syntax-object-rest-spread@7.8.3 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69432 verbose linkBins @babel/plugin-syntax-object-rest-spread@7.8.3
69433 verbose linkMans @babel/plugin-syntax-object-rest-spread@7.8.3
69434 silly build @babel/plugin-syntax-optional-catch-binding@7.8.3
69435 info linkStuff @babel/plugin-syntax-optional-catch-binding@7.8.3
69436 silly linkStuff @babel/plugin-syntax-optional-catch-binding@7.8.3 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69437 verbose linkBins @babel/plugin-syntax-optional-catch-binding@7.8.3
69438 verbose linkMans @babel/plugin-syntax-optional-catch-binding@7.8.3
69439 silly build @babel/plugin-proposal-optional-catch-binding@7.14.5
69440 info linkStuff @babel/plugin-proposal-optional-catch-binding@7.14.5
69441 silly linkStuff @babel/plugin-proposal-optional-catch-binding@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69442 verbose linkBins @babel/plugin-proposal-optional-catch-binding@7.14.5
69443 verbose linkMans @babel/plugin-proposal-optional-catch-binding@7.14.5
69444 silly build @babel/plugin-syntax-optional-chaining@7.8.3
69445 info linkStuff @babel/plugin-syntax-optional-chaining@7.8.3
69446 silly linkStuff @babel/plugin-syntax-optional-chaining@7.8.3 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69447 verbose linkBins @babel/plugin-syntax-optional-chaining@7.8.3
69448 verbose linkMans @babel/plugin-syntax-optional-chaining@7.8.3
69449 silly build @babel/plugin-syntax-private-property-in-object@7.14.5
69450 info linkStuff @babel/plugin-syntax-private-property-in-object@7.14.5
69451 silly linkStuff @babel/plugin-syntax-private-property-in-object@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69452 verbose linkBins @babel/plugin-syntax-private-property-in-object@7.14.5
69453 verbose linkMans @babel/plugin-syntax-private-property-in-object@7.14.5
69454 silly build @babel/plugin-syntax-top-level-await@7.14.5
69455 info linkStuff @babel/plugin-syntax-top-level-await@7.14.5
69456 silly linkStuff @babel/plugin-syntax-top-level-await@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69457 verbose linkBins @babel/plugin-syntax-top-level-await@7.14.5
69458 verbose linkMans @babel/plugin-syntax-top-level-await@7.14.5
69459 silly build @babel/plugin-transform-arrow-functions@7.14.5
69460 info linkStuff @babel/plugin-transform-arrow-functions@7.14.5
69461 silly linkStuff @babel/plugin-transform-arrow-functions@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69462 verbose linkBins @babel/plugin-transform-arrow-functions@7.14.5
69463 verbose linkMans @babel/plugin-transform-arrow-functions@7.14.5
69464 silly build @babel/plugin-transform-block-scoped-functions@7.14.5
69465 info linkStuff @babel/plugin-transform-block-scoped-functions@7.14.5
69466 silly linkStuff @babel/plugin-transform-block-scoped-functions@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69467 verbose linkBins @babel/plugin-transform-block-scoped-functions@7.14.5
69468 verbose linkMans @babel/plugin-transform-block-scoped-functions@7.14.5
69469 silly build @babel/plugin-transform-block-scoping@7.15.3
69470 info linkStuff @babel/plugin-transform-block-scoping@7.15.3
69471 silly linkStuff @babel/plugin-transform-block-scoping@7.15.3 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69472 verbose linkBins @babel/plugin-transform-block-scoping@7.15.3
69473 verbose linkMans @babel/plugin-transform-block-scoping@7.15.3
69474 silly build @babel/plugin-transform-computed-properties@7.14.5
69475 info linkStuff @babel/plugin-transform-computed-properties@7.14.5
69476 silly linkStuff @babel/plugin-transform-computed-properties@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69477 verbose linkBins @babel/plugin-transform-computed-properties@7.14.5
69478 verbose linkMans @babel/plugin-transform-computed-properties@7.14.5
69479 silly build @babel/plugin-transform-destructuring@7.14.7
69480 info linkStuff @babel/plugin-transform-destructuring@7.14.7
69481 silly linkStuff @babel/plugin-transform-destructuring@7.14.7 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69482 verbose linkBins @babel/plugin-transform-destructuring@7.14.7
69483 verbose linkMans @babel/plugin-transform-destructuring@7.14.7
69484 silly build @babel/plugin-transform-duplicate-keys@7.14.5
69485 info linkStuff @babel/plugin-transform-duplicate-keys@7.14.5
69486 silly linkStuff @babel/plugin-transform-duplicate-keys@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69487 verbose linkBins @babel/plugin-transform-duplicate-keys@7.14.5
69488 verbose linkMans @babel/plugin-transform-duplicate-keys@7.14.5
69489 silly build @babel/plugin-transform-for-of@7.15.4
69490 info linkStuff @babel/plugin-transform-for-of@7.15.4
69491 silly linkStuff @babel/plugin-transform-for-of@7.15.4 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69492 verbose linkBins @babel/plugin-transform-for-of@7.15.4
69493 verbose linkMans @babel/plugin-transform-for-of@7.15.4
69494 silly build @babel/plugin-transform-literals@7.14.5
69495 info linkStuff @babel/plugin-transform-literals@7.14.5
69496 silly linkStuff @babel/plugin-transform-literals@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69497 verbose linkBins @babel/plugin-transform-literals@7.14.5
69498 verbose linkMans @babel/plugin-transform-literals@7.14.5
69499 silly build @babel/plugin-transform-member-expression-literals@7.14.5
69500 info linkStuff @babel/plugin-transform-member-expression-literals@7.14.5
69501 silly linkStuff @babel/plugin-transform-member-expression-literals@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69502 verbose linkBins @babel/plugin-transform-member-expression-literals@7.14.5
69503 verbose linkMans @babel/plugin-transform-member-expression-literals@7.14.5
69504 silly build @babel/plugin-transform-new-target@7.14.5
69505 info linkStuff @babel/plugin-transform-new-target@7.14.5
69506 silly linkStuff @babel/plugin-transform-new-target@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69507 verbose linkBins @babel/plugin-transform-new-target@7.14.5
69508 verbose linkMans @babel/plugin-transform-new-target@7.14.5
69509 silly build @babel/plugin-transform-parameters@7.15.4
69510 info linkStuff @babel/plugin-transform-parameters@7.15.4
69511 silly linkStuff @babel/plugin-transform-parameters@7.15.4 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69512 verbose linkBins @babel/plugin-transform-parameters@7.15.4
69513 verbose linkMans @babel/plugin-transform-parameters@7.15.4
69514 silly build @babel/plugin-transform-property-literals@7.14.5
69515 info linkStuff @babel/plugin-transform-property-literals@7.14.5
69516 silly linkStuff @babel/plugin-transform-property-literals@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69517 verbose linkBins @babel/plugin-transform-property-literals@7.14.5
69518 verbose linkMans @babel/plugin-transform-property-literals@7.14.5
69519 silly build @babel/plugin-transform-reserved-words@7.14.5
69520 info linkStuff @babel/plugin-transform-reserved-words@7.14.5
69521 silly linkStuff @babel/plugin-transform-reserved-words@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69522 verbose linkBins @babel/plugin-transform-reserved-words@7.14.5
69523 verbose linkMans @babel/plugin-transform-reserved-words@7.14.5
69524 silly build @babel/plugin-transform-shorthand-properties@7.14.5
69525 info linkStuff @babel/plugin-transform-shorthand-properties@7.14.5
69526 silly linkStuff @babel/plugin-transform-shorthand-properties@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69527 verbose linkBins @babel/plugin-transform-shorthand-properties@7.14.5
69528 verbose linkMans @babel/plugin-transform-shorthand-properties@7.14.5
69529 silly build @babel/plugin-transform-sticky-regex@7.14.5
69530 info linkStuff @babel/plugin-transform-sticky-regex@7.14.5
69531 silly linkStuff @babel/plugin-transform-sticky-regex@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69532 verbose linkBins @babel/plugin-transform-sticky-regex@7.14.5
69533 verbose linkMans @babel/plugin-transform-sticky-regex@7.14.5
69534 silly build @babel/plugin-transform-template-literals@7.14.5
69535 info linkStuff @babel/plugin-transform-template-literals@7.14.5
69536 silly linkStuff @babel/plugin-transform-template-literals@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69537 verbose linkBins @babel/plugin-transform-template-literals@7.14.5
69538 verbose linkMans @babel/plugin-transform-template-literals@7.14.5
69539 silly build @babel/plugin-transform-typeof-symbol@7.14.5
69540 info linkStuff @babel/plugin-transform-typeof-symbol@7.14.5
69541 silly linkStuff @babel/plugin-transform-typeof-symbol@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69542 verbose linkBins @babel/plugin-transform-typeof-symbol@7.14.5
69543 verbose linkMans @babel/plugin-transform-typeof-symbol@7.14.5
69544 silly build @babel/plugin-transform-unicode-escapes@7.14.5
69545 info linkStuff @babel/plugin-transform-unicode-escapes@7.14.5
69546 silly linkStuff @babel/plugin-transform-unicode-escapes@7.14.5 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69547 verbose linkBins @babel/plugin-transform-unicode-escapes@7.14.5
69548 verbose linkMans @babel/plugin-transform-unicode-escapes@7.14.5
69549 silly build semver@6.3.0
69550 info linkStuff semver@6.3.0
69551 silly linkStuff semver@6.3.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules/@babel/preset-env/node_modules as its parent node_modules
69552 verbose linkBins semver@6.3.0
69553 verbose link bins [ { semver: './bin/semver.js' },
69553 verbose link bins   '/var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules/@babel/preset-env/node_modules/.bin',
69553 verbose link bins   false ]
69554 verbose linkMans semver@6.3.0
69555 silly gentlyRm /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules/@babel/preset-env/node_modules/.bin/semver is being purged
69556 verbose gentlyRm don't care about contents; nuking /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules/@babel/preset-env/node_modules/.bin/semver
69557 silly build @nicolo-ribaudo/chokidar-2@2.1.8-no-fsevents.3
69558 info linkStuff @nicolo-ribaudo/chokidar-2@2.1.8-no-fsevents.3
69559 silly linkStuff @nicolo-ribaudo/chokidar-2@2.1.8-no-fsevents.3 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69560 verbose linkBins @nicolo-ribaudo/chokidar-2@2.1.8-no-fsevents.3
69561 verbose linkMans @nicolo-ribaudo/chokidar-2@2.1.8-no-fsevents.3
69562 silly build @types/minimist@1.2.2
69563 info linkStuff @types/minimist@1.2.2
69564 silly linkStuff @types/minimist@1.2.2 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69565 verbose linkBins @types/minimist@1.2.2
69566 verbose linkMans @types/minimist@1.2.2
69567 silly build @types/normalize-package-data@2.4.1
69568 info linkStuff @types/normalize-package-data@2.4.1
69569 silly linkStuff @types/normalize-package-data@2.4.1 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69570 verbose linkBins @types/normalize-package-data@2.4.1
69571 verbose linkMans @types/normalize-package-data@2.4.1
69572 silly build abbrev@1.1.1
69573 info linkStuff abbrev@1.1.1
69574 silly linkStuff abbrev@1.1.1 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69575 verbose linkBins abbrev@1.1.1
69576 verbose linkMans abbrev@1.1.1
69577 silly build amdefine@1.0.1
69578 info linkStuff amdefine@1.0.1
69579 silly linkStuff amdefine@1.0.1 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69580 verbose linkBins amdefine@1.0.1
69581 verbose linkMans amdefine@1.0.1
69582 silly build ansi-regex@2.1.1
69583 info linkStuff ansi-regex@2.1.1
69584 silly linkStuff ansi-regex@2.1.1 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69585 verbose linkBins ansi-regex@2.1.1
69586 verbose linkMans ansi-regex@2.1.1
69587 silly build ansi-wrap@0.1.0
69588 info linkStuff ansi-wrap@0.1.0
69589 silly linkStuff ansi-wrap@0.1.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69590 verbose linkBins ansi-wrap@0.1.0
69591 verbose linkMans ansi-wrap@0.1.0
69592 silly build ansi-colors@1.1.0
69593 info linkStuff ansi-colors@1.1.0
69594 silly linkStuff ansi-colors@1.1.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69595 verbose linkBins ansi-colors@1.1.0
69596 verbose linkMans ansi-colors@1.1.0
69597 silly build ansi-gray@0.1.1
69598 info linkStuff ansi-gray@0.1.1
69599 silly linkStuff ansi-gray@0.1.1 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69600 verbose linkBins ansi-gray@0.1.1
69601 verbose linkMans ansi-gray@0.1.1
69602 silly build aproba@1.2.0
69603 info linkStuff aproba@1.2.0
69604 silly linkStuff aproba@1.2.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69605 verbose linkBins aproba@1.2.0
69606 verbose linkMans aproba@1.2.0
69607 silly build archy@1.0.0
69608 info linkStuff archy@1.0.0
69609 silly linkStuff archy@1.0.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69610 verbose linkBins archy@1.0.0
69611 verbose linkMans archy@1.0.0
69612 silly build arr-diff@4.0.0
69613 info linkStuff arr-diff@4.0.0
69614 silly linkStuff arr-diff@4.0.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69615 verbose linkBins arr-diff@4.0.0
69616 verbose linkMans arr-diff@4.0.0
69617 silly build arr-flatten@1.1.0
69618 info linkStuff arr-flatten@1.1.0
69619 silly linkStuff arr-flatten@1.1.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69620 verbose linkBins arr-flatten@1.1.0
69621 verbose linkMans arr-flatten@1.1.0
69622 silly build arr-union@3.1.0
69623 info linkStuff arr-union@3.1.0
69624 silly linkStuff arr-union@3.1.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69625 verbose linkBins arr-union@3.1.0
69626 verbose linkMans arr-union@3.1.0
69627 silly build array-each@1.0.1
69628 info linkStuff array-each@1.0.1
69629 silly linkStuff array-each@1.0.1 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69630 verbose linkBins array-each@1.0.1
69631 verbose linkMans array-each@1.0.1
69632 silly build array-find-index@1.0.2
69633 info linkStuff array-find-index@1.0.2
69634 silly linkStuff array-find-index@1.0.2 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69635 verbose linkBins array-find-index@1.0.2
69636 verbose linkMans array-find-index@1.0.2
69637 silly build is-number@4.0.0
69638 info linkStuff is-number@4.0.0
69639 silly linkStuff is-number@4.0.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules/array-initial/node_modules as its parent node_modules
69640 verbose linkBins is-number@4.0.0
69641 verbose linkMans is-number@4.0.0
69642 silly build is-number@4.0.0
69643 info linkStuff is-number@4.0.0
69644 silly linkStuff is-number@4.0.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules/array-last/node_modules as its parent node_modules
69645 verbose linkBins is-number@4.0.0
69646 verbose linkMans is-number@4.0.0
69647 silly build array-last@1.3.0
69648 info linkStuff array-last@1.3.0
69649 silly linkStuff array-last@1.3.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69650 verbose linkBins array-last@1.3.0
69651 verbose linkMans array-last@1.3.0
69652 silly build array-slice@1.1.0
69653 info linkStuff array-slice@1.1.0
69654 silly linkStuff array-slice@1.1.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69655 verbose linkBins array-slice@1.1.0
69656 verbose linkMans array-slice@1.1.0
69657 silly build array-initial@1.1.0
69658 info linkStuff array-initial@1.1.0
69659 silly linkStuff array-initial@1.1.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69660 verbose linkBins array-initial@1.1.0
69661 verbose linkMans array-initial@1.1.0
69662 silly build kind-of@5.1.0
69663 info linkStuff kind-of@5.1.0
69664 silly linkStuff kind-of@5.1.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules/array-sort/node_modules as its parent node_modules
69665 verbose linkBins kind-of@5.1.0
69666 verbose linkMans kind-of@5.1.0
69667 silly build array-unique@0.3.2
69668 info linkStuff array-unique@0.3.2
69669 silly linkStuff array-unique@0.3.2 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69670 verbose linkBins array-unique@0.3.2
69671 verbose linkMans array-unique@0.3.2
69672 silly build arrify@1.0.1
69673 info linkStuff arrify@1.0.1
69674 silly linkStuff arrify@1.0.1 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69675 verbose linkBins arrify@1.0.1
69676 verbose linkMans arrify@1.0.1
69677 silly build assert-plus@1.0.0
69678 info linkStuff assert-plus@1.0.0
69679 silly linkStuff assert-plus@1.0.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69680 verbose linkBins assert-plus@1.0.0
69681 verbose linkMans assert-plus@1.0.0
69682 silly build assign-symbols@1.0.0
69683 info linkStuff assign-symbols@1.0.0
69684 silly linkStuff assign-symbols@1.0.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69685 verbose linkBins assign-symbols@1.0.0
69686 verbose linkMans assign-symbols@1.0.0
69687 silly build async-each@1.0.3
69688 info linkStuff async-each@1.0.3
69689 silly linkStuff async-each@1.0.3 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69690 verbose linkBins async-each@1.0.3
69691 verbose linkMans async-each@1.0.3
69692 silly build async-foreach@0.1.3
69693 info linkStuff async-foreach@0.1.3
69694 silly linkStuff async-foreach@0.1.3 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69695 verbose linkBins async-foreach@0.1.3
69696 verbose linkMans async-foreach@0.1.3
69697 silly build asynckit@0.4.0
69698 info linkStuff asynckit@0.4.0
69699 silly linkStuff asynckit@0.4.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69700 verbose linkBins asynckit@0.4.0
69701 verbose linkMans asynckit@0.4.0
69702 silly build atob@2.1.2
69703 info linkStuff atob@2.1.2
69704 silly linkStuff atob@2.1.2 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69705 verbose linkBins atob@2.1.2
69706 verbose link bins [ { atob: 'bin/atob.js' },
69706 verbose link bins   '/var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules/.bin',
69706 verbose link bins   false ]
69707 verbose linkMans atob@2.1.2
69708 silly gentlyRm /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules/.bin/atob is being purged
69709 verbose gentlyRm don't care about contents; nuking /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules/.bin/atob
69710 silly build aws-sign2@0.7.0
69711 info linkStuff aws-sign2@0.7.0
69712 silly linkStuff aws-sign2@0.7.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69713 verbose linkBins aws-sign2@0.7.0
69714 verbose linkMans aws-sign2@0.7.0
69715 silly build aws4@1.11.0
69716 info linkStuff aws4@1.11.0
69717 silly linkStuff aws4@1.11.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69718 verbose linkBins aws4@1.11.0
69719 verbose linkMans aws4@1.11.0
69720 silly build semver@6.3.0
69721 info linkStuff semver@6.3.0
69722 silly linkStuff semver@6.3.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules/babel-plugin-polyfill-corejs2/node_modules as its parent node_modules
69723 verbose linkBins semver@6.3.0
69724 verbose link bins [ { semver: './bin/semver.js' },
69724 verbose link bins   '/var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules/babel-plugin-polyfill-corejs2/node_modules/.bin',
69724 verbose link bins   false ]
69725 verbose linkMans semver@6.3.0
69726 silly gentlyRm /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules/babel-plugin-polyfill-corejs2/node_modules/.bin/semver is being purged
69727 verbose gentlyRm don't care about contents; nuking /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules/babel-plugin-polyfill-corejs2/node_modules/.bin/semver
69728 silly build balanced-match@1.0.2
69729 info linkStuff balanced-match@1.0.2
69730 silly linkStuff balanced-match@1.0.2 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69731 verbose linkBins balanced-match@1.0.2
69732 verbose linkMans balanced-match@1.0.2
69733 silly build binary-extensions@2.2.0
69734 info linkStuff binary-extensions@2.2.0
69735 silly linkStuff binary-extensions@2.2.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69736 verbose linkBins binary-extensions@2.2.0
69737 verbose linkMans binary-extensions@2.2.0
69738 silly build buffer-equal@1.0.0
69739 info linkStuff buffer-equal@1.0.0
69740 silly linkStuff buffer-equal@1.0.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69741 verbose linkBins buffer-equal@1.0.0
69742 verbose linkMans buffer-equal@1.0.0
69743 silly build append-buffer@1.0.2
69744 info linkStuff append-buffer@1.0.2
69745 silly linkStuff append-buffer@1.0.2 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69746 verbose linkBins append-buffer@1.0.2
69747 verbose linkMans append-buffer@1.0.2
69748 silly build buffer-from@1.1.2
69749 info linkStuff buffer-from@1.1.2
69750 silly linkStuff buffer-from@1.1.2 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69751 verbose linkBins buffer-from@1.1.2
69752 verbose linkMans buffer-from@1.1.2
69753 silly build camelcase@3.0.0
69754 info linkStuff camelcase@3.0.0
69755 silly linkStuff camelcase@3.0.0 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules as its parent node_modules
69756 verbose linkBins camelcase@3.0.0
69757 verbose linkMans camelcase@3.0.0
69758 silly build camelcase@2.1.1
69759 info linkStuff camelcase@2.1.1
69760 silly linkStuff camelcase@2.1.1 has /var/www/html/paginas_web/margarita_cms/html/cms_ecomerce_margarita/node_modules/camelcase-keys/node_modules as its parent node_modules
69761 verbose linkBins camelcase@2.1.1
69762 verbose linkMans camelcase@2.1.1
69763 silly build caniuse-lite@1.0.30001265
69764 info linkStuff caniuse-lite@1.0.30001265
